id,title,category1,T5_rank,T5_S_scale,T5_S_score
20223838,"ভারতের অনুমোদন পেয়েছি, দাম নির্ধারণ হলে পেয়াজ পেয়ে যাবো: প্রতিমন্ত্রী",অর্থনীতি,2.0,0.875,87.5
20170955,"

মিয়ানমারে সঙ্ঘাতে নিহত আনোয়ারের সন্তানদের ভবিষ্যৎ অনিশ্চিত
",অর্থনীতি,2.0,0.875,87.5
20044769,"কুমিল্লায় সড়ক দুর্ঘটনা, ঘটনাস্থলেই প্রাণ হারালেন ৪ জন",অর্থনীতি,2.0,0.875,87.5
20170991,"

সোনারগাঁয়ে কোল্ড স্টোরেজ থেকে মেয়াদোত্তীর্ণ ১৪ টন খেজুর জব্দ
",অর্থনীতি,2.0,0.875,87.5
20044767,বাংলাদেশে আশ্রয় নিলো বিজিপির আরও ১৫০ সদস্য,অর্থনীতি,2.0,0.875,87.5
20044766,উত্তরায় কাঁচাবাজারে ভয়াবহ আগুন নিয়ন্ত্রণে,অর্থনীতি,2.0,0.875,87.5
20051942,বাংলাদেশ সরকার ও ভারত প্রশ্নে এবার যা বলল যুক্তরাষ্ট্র,অর্থনীতি,2.0,0.875,87.5
20044764,"সংকটেও বাড়ছে প্রকল্প, কাটছাঁট ১৮ হাজার কোটি টাকা",অর্থনীতি,2.0,0.875,87.5
20171019,"

কোয়ালিটি ইন্টিগ্রেটেড অ্যাগ্রোর ‘মিট অ্যান্ড গ্রিট’ সম্মেলন
",অর্থনীতি,2.0,0.875,87.5
20044759,সদরপুরে সন্ত্রাসী হামলার প্রতিবাদে মানববন্ধন,অর্থনীতি,2.0,0.875,87.5
20044758,সিলেটে সড়কের দৃশ্য বদলায় না,অর্থনীতি,2.0,0.875,87.5
20171065,"

১২ শ’ কোটি টাকা ব্যয়ে প্রশস্ত হচ্ছে মেরিন ড্রাইভ সড়ক
",অর্থনীতি,2.0,0.875,87.5
20171071,"

দুই ধরনের খেজুরের যৌক্তিক মূল্য নির্ধারণ করে দিলো সরকার
",অর্থনীতি,2.0,0.875,87.5
20171091,"

রমজানে দুধের লিটার ১০ টাকা!
",অর্থনীতি,2.0,0.875,87.5
20170204,"

পতনের পথেই হাঁটছে পুঁজিবাজার
	বাজারমূলধনে আরো ১৪২১ কোটি টাকা নেই
",অর্থনীতি,2.0,0.875,87.5
20171146,"

কাভার্ডভ্যান ও নছিমনের সংঘর্ষে নির্মাণশ্রমিক নিহত, আহত ৬
",অর্থনীতি,2.0,0.875,87.5
20171152,"

কর্মসংস্থান সৃষ্টির লক্ষ্যে ঠাকুরগাঁওয়ে জামায়াতের সেলাই মেশিন বিতরণ
",অর্থনীতি,2.0,0.875,87.5
20170192,"

 ওয়ালটনের ‘ননস্টপ মিলিয়নিয়ার’ ক্যাম্পেইনে ফ্রিজ কিনে ১০ লাখ টাকা পেলেন সিলেটের গৃহিণী লাকি বেগম
",অর্থনীতি,2.0,0.875,87.5
20051833,সুদ-আসল দুটোই হারানোর শঙ্কা,অর্থনীতি,2.0,0.875,87.5
20171208,"

কাঁচপুরে মজুদকৃত ৪৯ লাখ টাকার মেয়াদোত্তীর্ণ খেজুর জব্দ
",অর্থনীতি,2.0,0.875,87.5
20170952,"

কাউখালীতে শসার কেজি ১০০ টাকা
",অর্থনীতি,2.0,0.875,87.5
20051884,ক্ষুধা ও রক্ত দিয়ে রমজানকে স্বাগত জানাল গাজা,অর্থনীতি,2.0,0.875,87.5
20170236,"

মসিক নির্বাচনে সাধারণ কাউন্সিলর ৯ জন ও সংরক্ষিত মহিলা কাউন্সিলর ৮ নতুন মুখ
",অর্থনীতি,2.0,0.875,87.5
20051318,১ লাখ রোজাদারদের ইফতার করাচ্ছে মাস্তুল ফাউন্ডেশন,অর্থনীতি,2.0,0.875,87.5
20051832,এডিপি থেকে বাদ যাচ্ছে ১৮ হাজার কোটি টাকা,অর্থনীতি,2.0,0.875,87.5
20051831,যুক্তরাষ্ট্রের প্রশ্নবাণে যে জবাব বাংলাদেশের,অর্থনীতি,2.0,0.875,87.5
20051627,রোজাদারদের জন্য নেই কোনো সুখবর,অর্থনীতি,2.0,0.875,87.5
20170550,"
	বিএডিসি উইমেনস অ্যাসোসিয়েশনে বক্তারা 
নারীরা উচ্চ আসনে অধিষ্ঠিত হতে নানা বাধার শিকার
",অর্থনীতি,2.0,0.875,87.5
20170564,"

আতঙ্কে রেস্তোরাঁ ব্যবসায় ‘লালবাতি’
",অর্থনীতি,2.0,0.875,87.5
20051623,দেশে পুরুষ প্রতিবন্ধী বেশি,অর্থনীতি,2.0,0.875,87.5
20170391,"

পটিয়া মাদরাসায় মুহতামিম নিয়োগ সম্পূর্ণ অবৈধ
আঞ্জুমনে ইত্তেহাদুল মাদারিস বাংলাদেশ
",অর্থনীতি,2.0,0.875,87.5
20051620,১৮ হাজার কোটি টাকা বরাদ্দ কমিয়ে সংশোধিত এডিপি অনুমোদন,অর্থনীতি,2.0,0.875,87.5
20170635,"

নাগালের বাইরে খেজুর  অস্থির লেবু-শসা-বেগুন
",অর্থনীতি,2.0,0.875,87.5
20170185,"

রেমিট্যান্স আহরণে ‘গোল্ড অ্যাওয়ার্ড’ পেল ইসলামী ব্যাংক 
",অর্থনীতি,2.0,0.875,87.5
20051617,B2(বিটু)-র ৫ম আউটলেট সোমবার ময়মনসিংহে উদ্বোধন হয়েছে।,অর্থনীতি,2.0,0.875,87.5
20170785,"

মোটরসাইকেল নিয়ন্ত্রণ হারিয়ে বৈদ্যুতিক খুঁটির সাথে ধাক্কা, নিহত ২
",অর্থনীতি,2.0,0.875,87.5
20170796,"

আজ সকালে বিশ্বের দ্বিতীয় দূষিত বাতাস ঢাকার
",অর্থনীতি,2.0,0.875,87.5
20170380,"

সাঁথিয়ায় আগুনে ৬টি দোকান পুড়ে কোটি টাকার ক্ষতি
",অর্থনীতি,2.0,0.875,87.5
20051879,আত্মাহুতি দেওয়া সেই মার্কিন সেনার নামে সড়ক নামকরণ করল ফিলিস্তিন,অর্থনীতি,2.0,0.875,87.5
20051324,এনইসিতে ২ লাখ ৪৫ হাজার কোটি টাকার আরএডিপি অনুমোদন,অর্থনীতি,2.0,0.875,87.5
20170824,"

কুষ্টিয়ায় চাচার কবরের পাশে বৃষ্টির দাফন
",অর্থনীতি,2.0,0.875,87.5
20170340,"
  	শ্রমিকদের কর্মঘণ্টা কমানোর দাবি 
ন্যায় ও ইনসাফভিত্তিক সমাজ প্রতিষ্ঠা করতে হবে -শামসুল ইসলাম
",অর্থনীতি,2.0,0.875,87.5
20170851,"

পাকিস্তানের নতুন পররাষ্ট্রমন্ত্রী ইসহাক দার
",অর্থনীতি,2.0,0.875,87.5
20170339,"

কুয়েতে প্রবাসী যুবকের মৃত্যু 
",অর্থনীতি,2.0,0.875,87.5
20170640,"

ট্যাক্স থেকে দায়মুক্তি অফশোর বিডিংয়ে
",অর্থনীতি,2.0,0.875,87.5
20171219,"

রোজায় সিএনজি স্টেশন ৫ ঘণ্টা বন্ধ রাখার নির্দেশ
",অর্থনীতি,2.0,0.875,87.5
